Table 1. Solar Photospheric Abundances and Meteoritic Abundances from CI -chondrites,,,,,,,,,,,,
Z,E, Sun Convection Zone, Sun Convection Zone, CI-Chondrites, CI-Chondrites, Sun Convection Zone, Sun Convection Zone, CI-Chondrites, CI-Chondrites, CI /Solar,,,,,,
 , ,(mainly photosphere),,,, (mainly photosphere),,,,,,,
 , ,A(E) dex, error dex, A(E) dex*, error dex, N(E) **, error, error %, N(E)***, error, error %, 
1,H,12,0.004,8.24,0.04,2.81E+10,3.00E+08,0.9,4.86E+06,4.49E+05,9.2,1.70E-04
2,He,10.922,0.012,1.33,0.04,2.35E+09,6.60E+07,2.8,0.604,0.06,10,2.60E-10
3,Li,1.04,0.09,3.3,0.02,0.308,0.071,23,56.2,2.7,4.7,182
4,Be,1.21,0.14,1.37,0.02,0.456,0.174,38,0.658,0.038,5.8,1.4
5,B,2.7,0.25,2.81,0.05,14.1,11,77.8,18.1,2.3,12.8,1.3
6,C,8.51,0.09,7.47,0.07,9.10E+06,2.10E+06,23,8.29E+05,1.45E+05,17.5,0.1
7,N,7.94,0.11,6.12,0.17,2.45E+06,7.10E+05,28.8,36956,18153,49.1,1.50E-02
8,O,8.76,0.05,8.44,0.01,1.62E+07,2.00E+06,12.2,7.67E+06,1.32E+05,1.7,0.5
9,F,4.4,0.2,4.66,0.09,706,413,58.5,1280,277,21.7,1.8
10,Ne,8.15,0.12,-1.08,0.04,3.97E+06,1.26E+06,31.8,2.36E-03,2.36E-04,10,5.90E-10
11,Na,6.29,0.05,6.31,0.04,54838,6691,12.2,56838,5868,10.3,1
12,Mg,7.58,0.05,7.57,0.01,1.07E+06,1.30E+05,12.2,1.04E+06,3.25E+04,3.1,1
13,Al,6.43,0.05,6.47,0.02,75698,9237,12.2,82707,4687,5.7,1.1
14,Si,7.56,0.05,7.55,0.02,1.02E+06,1.20E+05,12.2,1.00E+06,4.13E+04,4.1,1
15,P,5.44,0.12,5.48,0.04,7746,2465,31.8,8413,757,9,1.1
16,S,7.16,0.11,7.18,0.04,406521,117180,28.8,425635,37798,8.9,1
17,Cl,5.43,0.2,5.28,0.06,7570,4428,58.5,5326,817,15.3,0.7
18,Ar,6.5,0.12,-0.46,0.04,88937,28305,31.8,9.66E-03,9.66E-04,10,1.10E-07
19,K,5.09,0.09,5.12,0.03,3460,797,23,3667,276,7.5,1.1
20,Ca,6.35,0.06,6.33,0.03,62963,9328,14.8,60135,3641,6.1,1
21,Sc,3.13,0.11,3.08,0.03,37.9,10.9,28.8,33.8,2.2,6.4,0.9
22,Ti,4.97,0.11,4.94,0.03,2625,757,28.8,2433,165,6.8,0.9
23,V,3.89,0.16,3.99,0.03,218,97,44.5,275,20,7.3,1.3
24,Cr,5.74,0.11,5.67,0.02,15456,4455,28.8,13255,588,4.4,0.9
25,Mn,5.52,0.05,5.52,0.03,9313,1136,12.2,9282,734,7.9,1
26,Fe,7.51,0.05,7.49,0.01,910088,111048,12.2,872789,30194,3.5,1
27,Co,4.95,0.11,4.91,0.02,2507,723,28.8,2297,116,5.1,0.9
28,Ni,6.24,0.06,6.25,0.01,48875,7241,14.8,50184,1481,3,1
29,Cu,4.24,0.11,4.29,0.05,489,141,28.8,552,62,11.3,1.1
30,Zn,4.55,0.11,4.65,0.03,998,288,28.8,1251,89,7.1,1.3
31,Ga,3.02,0.14,3.11,0.03,29.4,11.2,38,36.1,2.6,7.1,1.2
32,Ge,3.62,0.14,3.64,0.03,117,45,38,122,8,6.9,1
33,As,...,...,2.34,0.04,...,...,...,6.16,0.6,9.7,...
34,Se,...,...,3.41,0.01,...,...,...,71.7,2.3,3.3,...
35,Br,...,...,2.65,0.09,...,...,...,12.4,3,23.9,...
36,Kr,3.31,0.12,-2.23,0.04,57.4,18.3,31.8,1.64E-04,1.64E-05,10,2.90E-06
37,Rb,2.35,0.11,2.39,0.02,6.3,1.81,28.8,6.98,0.37,5.3,1.1
38,Sr,2.93,0.11,2.93,0.01,23.9,6.9,28.8,24.2,0.8,3.4,1
39,Y,2.3,0.06,2.2,0.04,5.61,0.83,14.8,4.5,0.4,8.8,0.8
40,Zr,2.68,0.11,2.57,0.02,13.5,3.9,28.8,10.5,0.6,5.8,0.8
41,Nb,1.47,0.14,1.44,0.03,0.83,0.316,38,0.767,0.063,8.2,0.9
42,Mo,1.88,0.16,1.97,0.04,2.13,0.95,44.5,2.6,0.27,10.6,1.2
43,Tc,...,...,...,...,...,...,...,...,...,...,...
44,Ru,1.75,0.16,1.8,0.03,1.58,0.7,44.5,1.77,0.11,6.2,1.1
45,Rh,0.78,0.16,1.08,0.02,0.169,0.075,44.5,0.341,0.015,4.5,2
46,Pd,1.57,0.16,1.69,0.02,1.04,0.47,44.5,1.39,0.06,4.6,1.3
47,Ag,0.96,0.16,1.25,0.04,0.256,0.114,44.5,0.504,0.046,9.2,2
48,Cd,1.77,0.2,1.75,0.03,1.66,0.97,58.5,1.6,0.11,6.9,1
49,In,0.8,0.2,0.8,0.03,0.177,0.104,58.5,0.179,0.013,7,1
50,Sn,2.02,0.16,2.12,0.05,2.94,1.31,44.5,3.7,0.44,12,1.3
51,Sb,...,...,1.08,0.07,...,...,...,0.34,0.056,16.6,...
52,Te,...,...,2.23,0.02,...,...,...,4.75,0.19,3.9,...
53,I,...,...,1.76,0.15,...,...,...,1.6,0.64,40.2,...
54,Xe,2.3,0.12,-1.91,0.04,5.61,1.79,31.8,3.49E-04,3.50E-05,10,6.20E-05
55,Cs,...,...,1.12,0.03,...,...,...,0.368,0.024,6.5,...
56,Ba,2.27,0.06,2.22,0.02,5.24,0.78,14.8,4.62,0.27,5.8,0.9
57,La,1.1,0.16,1.22,0.02,0.354,0.158,44.5,0.47,0.019,4,1.3
58,Ce,1.58,0.16,1.63,0.02,1.07,0.48,44.5,1.19,0.05,4.2,1.1
59,Pr,0.75,0.11,0.8,0.02,0.158,0.046,28.8,0.179,0.008,4.4,1.1
60,Nd,1.42,0.16,1.5,0.02,0.74,0.33,44.5,0.88,0.046,5.2,1.2
61,Pm,...,...,...,...,...,...,...,...,...,...,...
62,Sm,0.95,0.16,0.99,0.02,0.251,0.112,44.5,0.273,0.014,5.2,1.1
63,Eu,0.57,0.06,0.57,0.02,0.104,0.015,14.8,0.104,0.005,4.5,1
64,Gd,1.08,0.16,1.1,0.02,0.338,0.151,44.5,0.353,0.017,4.9,1
65,Tb,0.31,0.16,0.36,0.02,0.0574,0.0256,44.5,0.0638,0.0028,4.3,1.1
66,Dy,1.1,0.16,1.17,0.02,0.354,0.158,44.5,0.421,0.018,4.2,1.2
67,Ho,0.48,0.16,0.51,0.02,0.0849,0.0378,44.5,0.0908,0.0037,4,1.1
68,Er,0.93,0.16,0.97,0.02,0.239,0.107,44.5,0.263,0.011,4.3,1.1
69,Tm,0.11,0.16,0.16,0.02,0.0362,0.0161,44.5,0.041,0.0019,4.6,1.1
70,Yb,0.85,0.16,0.96,0.02,0.199,0.089,44.5,0.259,0.01,4,1.3
71,Lu,0.1,0.16,0.13,0.02,0.0354,0.0158,44.5,0.0384,0.0022,5.7,1.1
72,Hf,0.86,0.12,0.75,0.02,0.204,0.065,31.8,0.158,0.009,5.8,0.8
73,Ta,...,...,-0.11,0.02,...,...,...,0.0218,0.001,4.7,...
74,W,0.79,0.2,0.71,0.05,0.173,0.101,58.5,0.144,0.017,11.9,0.8
75,Re,...,...,0.3,0.02,...,...,...,0.0564,0.0023,4.1,...
76,Os,1.36,0.14,1.38,0.01,0.644,0.245,38,0.68,0.019,2.8,1.1
77,Ir,1.42,0.2,1.35,0.02,0.74,0.433,58.5,0.625,0.037,5.9,0.8
78,Pt,...,...,1.64,0.03,...,...,...,1.22,0.09,7.8,...
79,Au,0.91,0.2,0.85,0.04,0.229,0.134,58.5,0.201,0.018,8.8,0.9
80,Hg,...,...,1.14,0.13,...,...,...,0.385,0.139,36.1,...
81,Tl,0.95,0.2,0.81,0.04,0.251,0.147,58.5,0.182,0.018,9.9,0.7
82,Pb,1.95,0.2,2.07,0.03,2.51,1.47,58.5,3.32,0.241,7.3,1.3
83,Bi,...,...,0.7,0.03,...,...,...,0.142,0.009,6.2,...
90,Th,...,...,0.09,0.04,...,...,...,0.0345,0.0037,10.9,...
92,U,...,...,-0.5,0.04,...,...,...,0.00896,0.00085,9.5,...
*CI-chondrites: A(E) = 1.551+log N(E) dex. ** Solar: N(E) = 10A(X) - 1.551. *** CI-chondrites: N(Si) = 106 atoms., ,,,,,,,,,,,
